task_id,condition,injected_failure_type,af_class,af_score,combined_pass_at_k,recovery_successful,recovery_steps,termination_reason,wall_time_s,timestamp
HumanEval/0,A,hallucination,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,190.76,2026-04-22T23:37:25.573278+00:00
HumanEval/0,A,ctx_overflow,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,208.79,2026-04-22T23:44:59.750057+00:00
HumanEval/0,A,timeout,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,141.36,2026-04-22T23:47:21.113062+00:00
HumanEval/0,C,hallucination,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,217.25,2026-04-22T23:50:58.359449+00:00
HumanEval/0,C,ctx_overflow,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,219.11,2026-04-22T23:54:37.471120+00:00
HumanEval/0,C,timeout,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,206.48,2026-04-22T23:58:03.948029+00:00
HumanEval/1,A,hallucination,degraded,0.000000,0.000000,False,3,G2_CANONICAL_REGRESSION: pass@k=0.000,263.91,2026-04-23T00:02:27.860715+00:00
HumanEval/1,A,ctx_overflow,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,173.79,2026-04-23T00:05:21.651732+00:00
HumanEval/1,A,timeout,correct,0.000000,0.000000,True,3,G5_PLATEAU: af_delta=0.0000 < 0.05,298.98,2026-04-23T00:10:20.634757+00:00
HumanEval/1,C,hallucination,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,236.88,2026-04-23T00:14:17.510803+00:00
HumanEval/1,C,ctx_overflow,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,705.63,2026-04-23T00:26:03.139106+00:00
HumanEval/1,C,timeout,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,193.27,2026-04-23T00:29:16.406898+00:00
HumanEval/2,A,hallucination,correct,0.000000,0.000000,True,1,G5_PLATEAU: af_delta=0.0000 < 0.05,123.98,2026-04-23T00:31:20.388298+00:00
