task_id,condition,af_class,af_score,combined_pass_at_k,adversarial_ratio,rounds_taken,termination_reason,wall_time_s,timestamp
HumanEval/0,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,34.70,2026-04-21T20:13:54.569272+00:00
HumanEval/0,B,degraded,0.146667,0.000000,0.666667,1,G2_CANONICAL_REGRESSION: pass@k=0.000,217.08,2026-04-21T20:27:41.259066+00:00
HumanEval/0,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,60.14,2026-04-21T20:28:41.396970+00:00
HumanEval/0,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,58.65,2026-04-21T20:34:49.140608+00:00
HumanEval/1,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,64.26,2026-04-21T20:35:53.402635+00:00
HumanEval/1,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,148.52,2026-04-21T20:38:21.927176+00:00
HumanEval/1,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,131.39,2026-04-21T20:40:33.315022+00:00
HumanEval/1,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,104.89,2026-04-21T20:42:18.204751+00:00
HumanEval/2,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,237.18,2026-04-21T20:46:15.384232+00:00
HumanEval/2,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,129.17,2026-04-21T20:48:24.554622+00:00
HumanEval/2,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,104.44,2026-04-21T20:50:08.992047+00:00
HumanEval/2,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,85.28,2026-04-21T21:46:01.466552+00:00
HumanEval/3,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,42.23,2026-04-21T21:46:43.698287+00:00
HumanEval/3,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,103.03,2026-04-21T21:48:26.733529+00:00
HumanEval/3,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,84.40,2026-04-21T21:49:51.133727+00:00
HumanEval/3,D,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,79.09,2026-04-21T21:51:10.221493+00:00
HumanEval/4,A,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,39.95,2026-04-21T21:51:50.168666+00:00
HumanEval/4,B,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,84.14,2026-04-21T21:53:14.313200+00:00
HumanEval/4,C,correct,0.000000,0.000000,0.000000,1,G5_PLATEAU: af_delta=0.0000 < 0.05,67.28,2026-04-21T21:54:21.595911+00:00
HumanEval/4,D,correct,-0.070823,0.000000,0.000000,2,G5_PLATEAU: af_delta=-0.7082 < 0.05,58.89,2026-04-21T21:55:20.488827+00:00
HumanEval/5,A,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,6.05,2026-04-21T21:55:26.536204+00:00
HumanEval/5,B,correct,0.385000,1.000000,0.000000,1,G6_SHALLOW_ATTACKS: edge_coverage=0.000 < 0.75,36.96,2026-04-21T21:56:03.501707+00:00
