task_id,condition,af_score
HumanEval/0,A,0.5546395123743604
HumanEval/1,A,0.31686222065692493
HumanEval/2,A,0.3592039273038669
HumanEval/3,A,0.45452117793442126
HumanEval/4,A,0.44021314183698457
HumanEval/5,A,0.3427809615335357
HumanEval/6,A,0.3914639394517296
HumanEval/7,A,0.3440403392872389
HumanEval/8,A,0.35259934284715166
HumanEval/9,A,0.19987864941893063
HumanEval/10,A,0.5325006771738302
HumanEval/11,A,0.36338887653730045
HumanEval/12,A,0.3621268830230488
HumanEval/13,A,0.5270419073384534
HumanEval/14,A,0.3076717626975083
HumanEval/15,A,0.3104704106211664
HumanEval/16,A,0.4008610732712955
HumanEval/17,A,0.2742364863756379
HumanEval/18,A,0.4057444489395223
HumanEval/19,A,0.3587999115693274
HumanEval/20,A,0.3807216023992522
HumanEval/21,A,0.28620058917148183
HumanEval/22,A,0.28154207884072324
HumanEval/23,A,0.4026844017699924
HumanEval/24,A,0.48769806941139293
HumanEval/25,A,0.47816496019495286
HumanEval/26,A,0.44360196807332125
HumanEval/27,A,0.4433766693129201
HumanEval/28,A,0.2911144235398712
HumanEval/29,A,0.4598320800260454
HumanEval/30,A,0.41736096236632736
HumanEval/31,A,0.5688989798794196
HumanEval/32,A,0.4649037092731613
HumanEval/33,A,0.5710634702894086
HumanEval/34,A,0.5110850640651611
HumanEval/35,A,0.5977926782185328
HumanEval/36,A,0.3340633367043539
HumanEval/37,A,0.6612587363359825
HumanEval/38,A,0.36892830021485323
HumanEval/39,A,0.4591518844927872
HumanEval/40,A,0.2668846634852838
HumanEval/41,A,0.549737049652723
HumanEval/42,A,0.43784162433076923
HumanEval/43,A,0.41717154294774716
HumanEval/44,A,0.33809948932893147
HumanEval/45,A,0.256221204522289
HumanEval/46,A,0.5187639328218954
HumanEval/47,A,0.4825528189459678
HumanEval/48,A,0.4241680947493129
HumanEval/49,A,0.3852965528373514
HumanEval/50,A,0.3445850355164183
HumanEval/51,A,0.16182280670895366
HumanEval/52,A,0.5294460848157649
HumanEval/53,A,0.47005161807483103
HumanEval/54,A,0.5668984846971857
HumanEval/55,A,0.29278943248663836
HumanEval/56,A,0.2933542356960629
HumanEval/57,A,0.26541908591811136
HumanEval/58,A,0.27718492931089056
HumanEval/59,A,0.32812607287881007
HumanEval/60,A,0.34920212108428295
HumanEval/61,A,0.4151249202829332
HumanEval/62,A,0.3204778545957481
HumanEval/63,A,0.5022188435150333
HumanEval/64,A,0.39631477950149807
HumanEval/65,A,0.5522463512058855
HumanEval/66,A,0.4831463913969247
HumanEval/67,A,0.2934639770463753
HumanEval/68,A,0.37391896906067895
HumanEval/69,A,0.36745598580267524
HumanEval/70,A,0.3042689442377137
HumanEval/71,A,0.23293919978717345
HumanEval/72,A,0.3879283966647003
HumanEval/73,A,0.39564412529588916
HumanEval/74,A,0.18815655531633815
HumanEval/75,A,0.2222450845118731
HumanEval/76,A,0.41948656977590737
HumanEval/77,A,0.4835266214399008
HumanEval/78,A,0.40446756267039047
HumanEval/79,A,0.33416969264681917
HumanEval/80,A,0.433204767998966
HumanEval/81,A,0.36613428534916304
HumanEval/82,A,0.3470952211276904
HumanEval/83,A,0.3785214746091636
HumanEval/84,A,0.3088579945130883
HumanEval/85,A,0.29044807738204026
HumanEval/86,A,0.5476127238531182
HumanEval/87,A,0.45130401381556046
HumanEval/88,A,0.3010859908062214
HumanEval/89,A,0.5102619528689594
HumanEval/90,A,0.4616798862095115
HumanEval/91,A,0.3015633344587937
HumanEval/92,A,0.4117222417146393
HumanEval/93,A,0.5658226803681766
HumanEval/94,A,0.46934796520458066
HumanEval/95,A,0.24708738415634657
HumanEval/96,A,0.34718060248928134
HumanEval/97,A,0.08282540057253357
HumanEval/98,A,0.3188169503363685
HumanEval/99,A,0.28832962596553746
HumanEval/100,A,0.41326413938770273
HumanEval/101,A,0.46748875610783713
